tenant,pre-pr-issue-id,vendor_type,status,created_on,updated_on,update_query
th429,114625,PRIMARY,CREATED,2025-08-06 05:56:22.352000,2025-08-06 05:58:00.850000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 114625 AND vendor_type = 'PRIMARY';
th429,116448,PRIMARY,CREATED,2025-08-06 12:31:14.063000,2025-08-09 07:36:47.430000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 116448 AND vendor_type = 'PRIMARY';
th429,117113,PRIMARY,CREATED,2025-08-07 06:05:15.111000,2025-08-09 07:36:47.432000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 117113 AND vendor_type = 'PRIMARY';
th429,117115,PRIMARY,CREATED,2025-08-07 06:06:13.198000,2025-08-09 07:36:47.433000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 117115 AND vendor_type = 'PRIMARY';
th429,117116,PRIMARY,CREATED,2025-08-07 06:06:27.124000,2025-08-09 07:36:47.434000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 117116 AND vendor_type = 'PRIMARY';
th429,117173,PRIMARY,CREATED,2025-08-07 06:27:01.726000,2025-08-09 07:36:47.436000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 117173 AND vendor_type = 'PRIMARY';
th429,117174,PRIMARY,CREATED,2025-08-07 06:28:11.381000,2025-08-09 07:36:47.437000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 117174 AND vendor_type = 'PRIMARY';
th429,117404,PRIMARY,CREATED,2025-08-07 07:15:19.693000,2025-08-09 07:36:47.440000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 117404 AND vendor_type = 'PRIMARY';
th429,117520,PRIMARY,CREATED,2025-08-07 07:22:18.274000,2025-08-09 07:36:47.443000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 117520 AND vendor_type = 'PRIMARY';
th429,117521,PRIMARY,CREATED,2025-08-07 07:22:34.986000,2025-08-09 07:36:47.444000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 117521 AND vendor_type = 'PRIMARY';
