source_debit_note_number,source_tenant,dest_tenant,updateInvoiceDetailsQuery,updateUnifiedVendorQuery,deletePurchaseIssueInvoiceQuery
P0401-25A0000133,th401,th427,"UPDATE th401.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 91785 AND invoice_id = 51302 AND invoice_no = 'T0425-25A0001239';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 91785 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 60526 AND tenant = 'th401';",DELETE FROM th401.purchase_issue_invoice WHERE purchase_issue_id = 91785 AND invoice_id = 51302 AND invoice_no = 'T0425-25A0001239';
P0401-25A0000133,th401,th427,"UPDATE th401.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 91786 AND invoice_id = 52577 AND invoice_no = 'T0425-25A0001494';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 91786 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 60526 AND tenant = 'th401';",DELETE FROM th401.purchase_issue_invoice WHERE purchase_issue_id = 91786 AND invoice_id = 52577 AND invoice_no = 'T0425-25A0001494';
P0401-25A0000133,th401,th427,"UPDATE th401.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 91974 AND invoice_id = 50503 AND invoice_no = 'T0224-25A0011973';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 91974 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 60526 AND tenant = 'th401';",DELETE FROM th401.purchase_issue_invoice WHERE purchase_issue_id = 91974 AND invoice_id = 50503 AND invoice_no = 'T0224-25A0011973';
P0401-25A0000133,th401,th427,"UPDATE th401.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 91983 AND invoice_id = 52940 AND invoice_no = 'T0224-25A0015960';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 91983 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 60526 AND tenant = 'th401';",DELETE FROM th401.purchase_issue_invoice WHERE purchase_issue_id = 91983 AND invoice_id = 52940 AND invoice_no = 'T0224-25A0015960';
P0401-25A0000133,th401,th427,"UPDATE th401.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 91985 AND invoice_id = 51471 AND invoice_no = 'T0224-25A0013150';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 91985 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 60526 AND tenant = 'th401';",DELETE FROM th401.purchase_issue_invoice WHERE purchase_issue_id = 91985 AND invoice_id = 51471 AND invoice_no = 'T0224-25A0013150';
P0401-25A0000133,th401,th427,"UPDATE th401.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 92106 AND invoice_id = 52711 AND invoice_no = 'T0224-25A0015501';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 92106 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 60526 AND tenant = 'th401';",DELETE FROM th401.purchase_issue_invoice WHERE purchase_issue_id = 92106 AND invoice_id = 52711 AND invoice_no = 'T0224-25A0015501';
P0401-25A0000133,th401,th427,"UPDATE th401.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 92147 AND invoice_id = 50771 AND invoice_no = 'T0224-25A0012371';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 92147 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 60526 AND tenant = 'th401';",DELETE FROM th401.purchase_issue_invoice WHERE purchase_issue_id = 92147 AND invoice_id = 50771 AND invoice_no = 'T0224-25A0012371';
P0401-25A0000133,th401,th427,"UPDATE th401.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 92150 AND invoice_id = 49748 AND invoice_no = 'T0224-25A0010462';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 92150 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 60526 AND tenant = 'th401';",DELETE FROM th401.purchase_issue_invoice WHERE purchase_issue_id = 92150 AND invoice_id = 49748 AND invoice_no = 'T0224-25A0010462';
P0401-25A0000133,th401,th427,"UPDATE th401.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 92392 AND invoice_id = 52940 AND invoice_no = 'T0224-25A0015960';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 92392 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 60526 AND tenant = 'th401';",DELETE FROM th401.purchase_issue_invoice WHERE purchase_issue_id = 92392 AND invoice_id = 52940 AND invoice_no = 'T0224-25A0015960';
P0401-25A0000133,th401,th427,"UPDATE th401.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 92540 AND invoice_id = 52946 AND invoice_no = 'T0407-25A0000307';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 92540 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 60526 AND tenant = 'th401';",DELETE FROM th401.purchase_issue_invoice WHERE purchase_issue_id = 92540 AND invoice_id = 52946 AND invoice_no = 'T0407-25A0000307';
P0413-25A0000227,th413,th214,"UPDATE th413.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 44966 AND invoice_id = 9182 AND invoice_no = 'MU214/23/A000382';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 44966 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 3449 AND tenant = 'th413';",DELETE FROM th413.purchase_issue_invoice WHERE purchase_issue_id = 44966 AND invoice_id = 9182 AND invoice_no = 'MU214/23/A000382';
P0413-25A0000227,th413,th214,"UPDATE th413.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 44972 AND invoice_id = 9182 AND invoice_no = 'MU214/23/A000382';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 44972 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 3449 AND tenant = 'th413';",DELETE FROM th413.purchase_issue_invoice WHERE purchase_issue_id = 44972 AND invoice_id = 9182 AND invoice_no = 'MU214/23/A000382';
P0413-25A0000227,th413,th214,"UPDATE th413.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 44994 AND invoice_id = 9045 AND invoice_no = 'A0214-24A0000153';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 44994 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 3449 AND tenant = 'th413';",DELETE FROM th413.purchase_issue_invoice WHERE purchase_issue_id = 44994 AND invoice_id = 9045 AND invoice_no = 'A0214-24A0000153';
P0413-25A0000227,th413,th214,"UPDATE th413.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 45100 AND invoice_id = 9182 AND invoice_no = 'MU214/23/A000382';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 45100 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 3449 AND tenant = 'th413';",DELETE FROM th413.purchase_issue_invoice WHERE purchase_issue_id = 45100 AND invoice_id = 9182 AND invoice_no = 'MU214/23/A000382';
P0413-25A0000227,th413,th214,"UPDATE th413.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 45103 AND invoice_id = 9052 AND invoice_no = 'A0214-24A0000164';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 45103 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 3449 AND tenant = 'th413';",DELETE FROM th413.purchase_issue_invoice WHERE purchase_issue_id = 45103 AND invoice_id = 9052 AND invoice_no = 'A0214-24A0000164';
P0413-25A0000224,th413,th214,"UPDATE th413.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 44840 AND invoice_id = 17008 AND invoice_no = 'A0214-24A0000699';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 44840 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 3449 AND tenant = 'th413';",DELETE FROM th413.purchase_issue_invoice WHERE purchase_issue_id = 44840 AND invoice_id = 17008 AND invoice_no = 'A0214-24A0000699';
P0413-25A0000224,th413,th214,"UPDATE th413.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 44896 AND invoice_id = 3844 AND invoice_no = 'AR22-23-1232';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 44896 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 3449 AND tenant = 'th413';",DELETE FROM th413.purchase_issue_invoice WHERE purchase_issue_id = 44896 AND invoice_id = 3844 AND invoice_no = 'AR22-23-1232';
P0413-25A0000223,th413,th214,"UPDATE th413.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 44833 AND invoice_id = 23850 AND invoice_no = 'T0214-25A0004823';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 44833 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 3449 AND tenant = 'th413';",DELETE FROM th413.purchase_issue_invoice WHERE purchase_issue_id = 44833 AND invoice_id = 23850 AND invoice_no = 'T0214-25A0004823';
P0413-25A0000217,th413,th214,"UPDATE th413.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 44169 AND invoice_id = 23881 AND invoice_no = 'T0214-25A0004888';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 44169 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 3449 AND tenant = 'th413';",DELETE FROM th413.purchase_issue_invoice WHERE purchase_issue_id = 44169 AND invoice_id = 23881 AND invoice_no = 'T0214-25A0004888';
P0413-25A0000217,th413,th214,"UPDATE th413.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 44341 AND invoice_id = 9053 AND invoice_no = 'A0214-24A0000165';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 44341 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 3449 AND tenant = 'th413';",DELETE FROM th413.purchase_issue_invoice WHERE purchase_issue_id = 44341 AND invoice_id = 9053 AND invoice_no = 'A0214-24A0000165';
P0413-25A0000217,th413,th214,"UPDATE th413.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 44426 AND invoice_id = 17008 AND invoice_no = 'A0214-24A0000699';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 44426 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 3449 AND tenant = 'th413';",DELETE FROM th413.purchase_issue_invoice WHERE purchase_issue_id = 44426 AND invoice_id = 17008 AND invoice_no = 'A0214-24A0000699';
P0413-25A0000217,th413,th214,"UPDATE th413.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 44443 AND invoice_id = 9182 AND invoice_no = 'MU214/23/A000382';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 44443 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 3449 AND tenant = 'th413';",DELETE FROM th413.purchase_issue_invoice WHERE purchase_issue_id = 44443 AND invoice_id = 9182 AND invoice_no = 'MU214/23/A000382';
P0413-25A0000217,th413,th214,"UPDATE th413.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 44529 AND invoice_id = 3730 AND invoice_no = 'AF22-23-1703';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 44529 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 3449 AND tenant = 'th413';",DELETE FROM th413.purchase_issue_invoice WHERE purchase_issue_id = 44529 AND invoice_id = 3730 AND invoice_no = 'AF22-23-1703';
P0413-25A0000217,th413,th214,"UPDATE th413.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 44674 AND invoice_id = 25719 AND invoice_no = 'T0214-25A0008577';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 44674 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 3449 AND tenant = 'th413';",DELETE FROM th413.purchase_issue_invoice WHERE purchase_issue_id = 44674 AND invoice_id = 25719 AND invoice_no = 'T0214-25A0008577';
P0413-25A0000217,th413,th214,"UPDATE th413.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 44701 AND invoice_id = 9182 AND invoice_no = 'MU214/23/A000382';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 44701 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 3449 AND tenant = 'th413';",DELETE FROM th413.purchase_issue_invoice WHERE purchase_issue_id = 44701 AND invoice_id = 9182 AND invoice_no = 'MU214/23/A000382';
P0413-25A0000217,th413,th214,"UPDATE th413.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 44787 AND invoice_id = 9182 AND invoice_no = 'MU214/23/A000382';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 44787 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 3449 AND tenant = 'th413';",DELETE FROM th413.purchase_issue_invoice WHERE purchase_issue_id = 44787 AND invoice_id = 9182 AND invoice_no = 'MU214/23/A000382';
