source_debit_note_number,dest_tenant,source_tenant,cancelInvoiceQuery
PD0224-25A003847,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 70205 and invoice_no = 'PD0224-25A003847' and status = 'StockHidden';
U0413-25A0000047,th214,th413,UPDATE th214.inward_invoice SET status = 'CANCELLED' WHERE id = 1039144 and invoice_no = 'U0413-25A0000047' and status = 'StockHidden';
P0224-25A0000178,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 113878 and invoice_no = 'P0224-25A0000178' and status = 'StockHidden';
U0224-25A0000020,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 70214 and invoice_no = 'U0224-25A0000020' and status = 'StockHidden';
P0411-25A0000052,th402,th411,UPDATE th402.inward_invoice SET status = 'CANCELLED' WHERE id = 222038 and invoice_no = 'P0411-25A0000052' and status = 'StockHidden';
DR0408-25A000107,th418,th408,UPDATE th418.inward_invoice SET status = 'CANCELLED' WHERE id = 27999 and invoice_no = 'DR0408-25A000107' and status = 'StockHidden';
P0434-25A0000002,th409,th434,UPDATE th409.inward_invoice SET status = 'CANCELLED' WHERE id = 51998 and invoice_no = 'P0434-25A0000002' and status = 'StockHidden';
P0213-25A0000060,th429,th213,UPDATE th429.inward_invoice SET status = 'CANCELLED' WHERE id = 141421 and invoice_no = 'P0213-25A0000060' and status = 'StockHidden';
DR0224-25A000140,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 70512 and invoice_no = 'DR0224-25A000140' and status = 'StockHidden';
U0224-25A0000008,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 70211 and invoice_no = 'U0224-25A0000008' and status = 'StockHidden';
P0429-25A0000074,th421,th429,UPDATE th421.inward_invoice SET status = 'CANCELLED' WHERE id = 28977 and invoice_no = 'P0429-25A0000074' and status = 'StockHidden';
P0224-25A0000530,th427,th224,UPDATE th427.inward_invoice SET status = 'CANCELLED' WHERE id = 182585 and invoice_no = 'P0224-25A0000530' and status = 'StockHidden';
P0411-25A0000050,th402,th411,UPDATE th402.inward_invoice SET status = 'CANCELLED' WHERE id = 221865 and invoice_no = 'P0411-25A0000050' and status = 'StockHidden';
P0224-25A0000377,th428,th224,UPDATE th428.inward_invoice SET status = 'CANCELLED' WHERE id = 48390 and invoice_no = 'P0224-25A0000377' and status = 'StockHidden';
DR0424-25A000006,th418,th424,UPDATE th418.inward_invoice SET status = 'CANCELLED' WHERE id = 26852 and invoice_no = 'DR0424-25A000006' and status = 'StockHidden';
P0434-25A0000003,th409,th434,UPDATE th409.inward_invoice SET status = 'CANCELLED' WHERE id = 52003 and invoice_no = 'P0434-25A0000003' and status = 'StockHidden';
DR0435-25A000444,th418,th435,UPDATE th418.inward_invoice SET status = 'CANCELLED' WHERE id = 29030 and invoice_no = 'DR0435-25A000444' and status = 'StockHidden';
DR0214-25A002594,th417,th214,UPDATE th417.inward_invoice SET status = 'CANCELLED' WHERE id = 40246 and invoice_no = 'DR0214-25A002594' and status = 'StockHidden';
DR0224-25A000109,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 70421 and invoice_no = 'DR0224-25A000109' and status = 'StockHidden';
U0224-25A0000078,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69528 and invoice_no = 'U0224-25A0000078' and status = 'StockHidden';
P0425-25A0000046,th427,th425,UPDATE th427.inward_invoice SET status = 'CANCELLED' WHERE id = 175879 and invoice_no = 'P0425-25A0000046' and status = 'StockHidden';
P0428-25A0000554,th224,th428,UPDATE th224.inward_invoice SET status = 'CANCELLED' WHERE id = 929865 and invoice_no = 'P0428-25A0000554' and status = 'StockHidden';
U0224-25A0000073,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 70233 and invoice_no = 'U0224-25A0000073' and status = 'StockHidden';
P0428-25A0000566,th224,th428,UPDATE th224.inward_invoice SET status = 'CANCELLED' WHERE id = 929917 and invoice_no = 'P0428-25A0000566' and status = 'StockHidden';
DR0224-25A000068,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69644 and invoice_no = 'DR0224-25A000068' and status = 'StockHidden';
U0224-25A0000062,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69484 and invoice_no = 'U0224-25A0000062' and status = 'StockHidden';
U0406-25A0000001,th205,th406,UPDATE th205.inward_invoice SET status = 'CANCELLED' WHERE id = 532070 and invoice_no = 'U0406-25A0000001' and status = 'StockHidden';
DR0428-25A000013,th223,th428,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69495 and invoice_no = 'DR0428-25A000013' and status = 'StockHidden';
PD0406-25A000516,th205,th406,UPDATE th205.inward_invoice SET status = 'CANCELLED' WHERE id = 538453 and invoice_no = 'PD0406-25A000516' and status = 'StockHidden';
DR0224-25A000111,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 70430 and invoice_no = 'DR0224-25A000111' and status = 'StockHidden';
PD0224-25A004263,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 68598 and invoice_no = 'PD0224-25A004263' and status = 'StockHidden';
DR0434-25A000008,th410,th434,UPDATE th410.inward_invoice SET status = 'CANCELLED' WHERE id = 63099 and invoice_no = 'DR0434-25A000008' and status = 'StockHidden';
DR0411-25A000015,th403,th411,UPDATE th403.inward_invoice SET status = 'CANCELLED' WHERE id = 30054 and invoice_no = 'DR0411-25A000015' and status = 'StockHidden';
PD0406-25A000567,th205,th406,UPDATE th205.inward_invoice SET status = 'CANCELLED' WHERE id = 532114 and invoice_no = 'PD0406-25A000567' and status = 'StockHidden';
DR0224-25A000091,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 70393 and invoice_no = 'DR0224-25A000091' and status = 'StockHidden';
U0224-25A0000065,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69492 and invoice_no = 'U0224-25A0000065' and status = 'StockHidden';
U0224-25A0000086,th425,th224,UPDATE th425.inward_invoice SET status = 'CANCELLED' WHERE id = 102820 and invoice_no = 'U0224-25A0000086' and status = 'StockHidden';
P0224-25A0000195,th427,th224,UPDATE th427.inward_invoice SET status = 'CANCELLED' WHERE id = 174066 and invoice_no = 'P0224-25A0000195' and status = 'StockHidden';
U0224-25A0000047,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69267 and invoice_no = 'U0224-25A0000047' and status = 'StockHidden';
P0434-25A0000009,th410,th434,UPDATE th410.inward_invoice SET status = 'CANCELLED' WHERE id = 63718 and invoice_no = 'P0434-25A0000009' and status = 'StockHidden';
DR0428-25A000063,th223,th428,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69647 and invoice_no = 'DR0428-25A000063' and status = 'StockHidden';
U0428-25A0000001,th223,th428,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69219 and invoice_no = 'U0428-25A0000001' and status = 'StockHidden';
DR0421-25A000006,th429,th421,UPDATE th429.inward_invoice SET status = 'CANCELLED' WHERE id = 134491 and invoice_no = 'DR0421-25A000006' and status = 'StockHidden';
P0411-25A0000087,th409,th411,UPDATE th409.inward_invoice SET status = 'CANCELLED' WHERE id = 51819 and invoice_no = 'P0411-25A0000087' and status = 'StockHidden';
PD0224-25A003991,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 68411 and invoice_no = 'PD0224-25A003991' and status = 'StockHidden';
U0424-25A0000004,th430,th424,UPDATE th430.inward_invoice SET status = 'CANCELLED' WHERE id = 30861 and invoice_no = 'U0424-25A0000004' and status = 'StockHidden';
U0224-25A0000072,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69512 and invoice_no = 'U0224-25A0000072' and status = 'StockHidden';
DR0413-25A001218,th418,th413,UPDATE th418.inward_invoice SET status = 'CANCELLED' WHERE id = 28880 and invoice_no = 'DR0413-25A001218' and status = 'StockHidden';
DR0428-25A000001,th223,th428,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69432 and invoice_no = 'DR0428-25A000001' and status = 'StockHidden';
PD0224-25A004445,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 68914 and invoice_no = 'PD0224-25A004445' and status = 'StockHidden';
P0428-25A0000534,th224,th428,UPDATE th224.inward_invoice SET status = 'CANCELLED' WHERE id = 922369 and invoice_no = 'P0428-25A0000534' and status = 'StockHidden';
P0224-25A0000375,th428,th224,UPDATE th428.inward_invoice SET status = 'CANCELLED' WHERE id = 48293 and invoice_no = 'P0224-25A0000375' and status = 'StockHidden';
U0428-25A0000025,th223,th428,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69322 and invoice_no = 'U0428-25A0000025' and status = 'StockHidden';
P0411-25A0000082,th402,th411,UPDATE th402.inward_invoice SET status = 'CANCELLED' WHERE id = 224578 and invoice_no = 'P0411-25A0000082' and status = 'StockHidden';
DR0224-25A000738,th406,th224,UPDATE th406.inward_invoice SET status = 'CANCELLED' WHERE id = 35865 and invoice_no = 'DR0224-25A000738' and status = 'StockHidden';
DR0224-25A000053,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69514 and invoice_no = 'DR0224-25A000053' and status = 'StockHidden';
DR0406-25A000221,th427,th406,UPDATE th427.inward_invoice SET status = 'CANCELLED' WHERE id = 182267 and invoice_no = 'DR0406-25A000221' and status = 'StockHidden';
U0428-25A0000020,th223,th428,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69305 and invoice_no = 'U0428-25A0000020' and status = 'StockHidden';
PD0224-25A005065,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69420 and invoice_no = 'PD0224-25A005065' and status = 'StockHidden';
PD0406-25A000550,th223,th406,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 68534 and invoice_no = 'PD0406-25A000550' and status = 'StockHidden';
PD0407-25A000609,th223,th407,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69397 and invoice_no = 'PD0407-25A000609' and status = 'StockHidden';
PD0205-25A002877,th223,th205,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 68849 and invoice_no = 'PD0205-25A002877' and status = 'StockHidden';
PD0205-25A002874,th223,th205,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 68846 and invoice_no = 'PD0205-25A002874' and status = 'StockHidden';
