source_debit_note_number,source_tenant,dest_tenant,
U0428-25A0000034,th428,th223,
U0224-25A0000073,th224,th223,
DR0425-25A000021,th425,th223,
DR0428-25A000063,th428,th223,
PD0224-25A004685,th224,th223,
DR0224-25A000654,th224,th418,
U0224-25A0000033,th224,th223,
P0434-25A0000010,th434,th409,
P0434-25A0000010,th434,th409,
P0434-25A0000010,th434,th409,
U0224-25A0000060,th224,th223,
P0425-25A0000076,th425,th427,
DR0428-25A000063,th428,th223,
PD0407-25A000583,th407,th223,
U0428-25A0000070,th428,th223,
P0213-25A0000036,th213,th429,
U0224-25A0000020,th224,th223,
U0428-25A0000006,th428,th223,
PD0406-25A000559,th406,th223,
DR0224-25A000134,th224,th223,
DR0428-25A000015,th428,th223,
PD0224-25A004550,th224,th223,
DR0428-25A000063,th428,th223,
DR0421-25A000020,th421,th429,
PD0429-25A000661,th429,th401,
DR0224-25A000068,th224,th223,
DR0421-25A000024,th421,th435,
DR0224-25A000068,th224,th223,
DR0428-25A000001,th428,th223,
DR0428-25A000013,th428,th223,
PD0407-25A000575,th407,th223,
PD0406-25A000502,th406,th223,
DR0425-25A000018,th425,th223,
PD0429-25A000661,th429,th401,
U0428-25A0000053,th428,th223,
DR0428-25A000015,th428,th223,
DR0224-25A000100,th224,th223,
DR0428-25A000056,th428,th223,
PD0425-25A002126,th425,th401,
U0224-25A0000047,th224,th223,
U0224-25A0000009,th224,th223,
DR0401-25A000042,th401,th418,
U0224-25A0000031,th224,th223,
DR0214-25A002942,th214,th435,
P0411-25A0000085,th411,th403,
DR0411-25A000015,th411,th403,
U0224-25A0000065,th224,th223,
DR0428-25A000046,th428,th223,
P0428-25A0000580,th428,th427,
U0224-25A0000069,th224,th223,
U0224-25A0000036,th224,th223,
U0428-25A0000036,th428,th223,
PD0224-25A005065,th224,th223,
PD0224-25A003939,th224,th223,
PD0224-25A004381,th224,th223,
P0224-25A0000372,th224,th428,
DR0224-25A000139,th224,th223,
U0428-25A0000025,th428,th223,
DR0428-25A000013,th428,th223,
PD0224-25A004799,th224,th223,
U0224-25A0000073,th224,th223,
P0434-25A0000009,th434,th410,
DR0428-25A000015,th428,th223,
PD0224-25A004232,th224,th223,
DR0224-25A000134,th224,th223,
PD0425-25A001958,th425,th401,
DR0425-25A000036,th425,th223,
U0224-25A0000012,th224,th223,
DR0428-25A000063,th428,th223,
DR0205-25A000011,th205,th223,
PD0407-25A000587,th407,th223,
DR0428-25A000006,th428,th223,
U0224-25A0000032,th224,th223,
DR0224-25A000040,th224,th223,
PD0429-25A000661,th429,th401,
PD0406-25A000521,th406,th223,
DR0428-25A000020,th428,th223,
PD0408-25A000828,th408,th223,
U0428-25A0000025,th428,th223,
PD0224-25A003979,th224,th223,
DR0213-25A000020,th213,th435,
U0428-25A0000006,th428,th223,
DR0428-25A000054,th428,th223,
U0428-25A0000001,th428,th223,
P0411-25A0000051,th411,th402,
DR0224-25A000051,th224,th223,
U0224-25A0000074,th224,th223,
DR0428-25A000001,th428,th223,
P0428-25A0000545,th428,th224,
PD0406-25A000539,th406,th205,
DR0428-25A000001,th428,th223,
U0428-25A0000007,th428,th223,
U0428-25A0000012,th428,th223,
U0224-25A0000087,th224,th424,
U0428-25A0000064,th428,th223,
PD0406-25A000539,th406,th205,
P0224-25A0000084,th224,th223,
DR0224-25A000101,th224,th223,
U0224-25A0000065,th224,th223,
U0428-25A0000014,th428,th223,
DR0428-25A000054,th428,th223,
PD0224-25A004381,th224,th223,
P0413-25A0000120,th413,th214,
PD0224-25A004381,th224,th223,
U0428-25A0000072,th428,th223,
PD0406-25A000740,th406,th223,
PD0224-25A003991,th224,th223,
PD0205-25A002765,th205,th223,
P0408-25A0000116,th408,th411,
P0434-25A0000010,th434,th409,
U0428-25A0000006,th428,th223,
U0428-25A0000007,th428,th223,
U0428-25A0000064,th428,th223,
U0224-25A0000036,th224,th223,
U0224-25A0000041,th224,th223,
DR0224-25A000093,th224,th223,
U0428-25A0000056,th428,th223,
U0224-25A0000065,th224,th223,
U0224-25A0000072,th224,th223,
DR0425-25A000044,th425,th223,
P0434-25A0000009,th434,th410,
U0428-25A0000064,th428,th223,
PD0224-25A004174,th224,th223,
P0434-25A0000009,th434,th410,
PD0214-25A005258,th214,th223,
U0224-25A0000057,th224,th223,
DR0424-25A000007,th424,th401,
U0224-25A0000017,th224,th223,
U0428-25A0000031,th428,th223,
DR0205-25A000007,th205,th223,
U0428-25A0000064,th428,th223,
DR0408-25A000074,th408,th411,
DR0428-25A000045,th428,th223,
P0428-25A0000528,th428,th427,
PD0224-25A003991,th224,th223,
PD0205-25A002883,th205,th223,
U0224-25A0000060,th224,th223,
U0428-25A0000020,th428,th223,
DR0224-25A000068,th224,th223,
DR0417-25A000095,th417,th436,
DR0413-25A000952,th413,th214,
DR0428-25A000007,th428,th223,
DR0214-25A001738,th214,th435,
DR0425-25A000037,th425,th223,
DR0214-25A002939,th214,th435,
DR0224-25A000068,th224,th223,
U0224-25A0000073,th224,th223,
U0224-25A0000031,th224,th223,
PD0425-25A001987,th425,th223,
DR0224-25A000068,th224,th223,
U0224-25A0000034,th224,th223,
U0224-25A0000073,th224,th223,
PD0405-25A000336,th405,th223,
U0428-25A0000025,th428,th223,
DR0408-25A000107,th408,th418,
DR0224-25A000082,th224,th223,
U0428-25A0000064,th428,th223,
PD0224-25A006813,th224,th427,
DR0428-25A000001,th428,th223,
PD0224-25A004378,th224,th223,
P0425-25A0000046,th425,th427,
U0428-25A0000002,th428,th223,
U0224-25A0000078,th224,th223,
DR0406-25A000009,th406,th223,
P0437-25A0000001,th437,th427,
U0301-25A0000013,th301,th214,
P0434-25A0000008,th434,th409,
U0224-25A0000023,th224,th223,
DR0428-25A000046,th428,th223,
PD0406-25A000636,th406,th205,
DR0428-25A000013,th428,th223,
PD0406-25A000610,th406,th223,
DR0428-25A000015,th428,th223,
U0224-25A0000036,th224,th223,
DR0224-25A000104,th224,th223,
PD0405-25A000388,th405,th223,
DR0428-25A000001,th428,th223,
U0224-25A0000033,th224,th223,
U0301-25A0000002,th301,th214,
U0428-25A0000001,th428,th223,
PD0424-25A000133,th424,th418,
PD0406-25A000554,th406,th223,
DR0224-25A000064,th224,th223,
U0428-25A0000001,th428,th223,
DR0224-25A000029,th224,th223,
U0224-25A0000059,th224,th223,
DR0428-25A000001,th428,th223,
DR0421-25A000020,th421,th429,
DR0428-25A000042,th428,th223,
U0428-25A0000064,th428,th223,
U0224-25A0000014,th224,th223,
DR0428-25A000018,th428,th223,
U0428-25A0000002,th428,th223,
U0428-25A0000001,th428,th223,
U0224-25A0000073,th224,th223,
DR0413-25A000901,th413,th430,
PD0224-25A004204,th224,th223,
U0224-25A0000078,th224,th223,
U0428-25A0000022,th428,th223,
DR0224-25A000104,th224,th223,
DR0205-25A000016,th205,th223,
PD0406-25A000684,th406,th223,
U0428-25A0000014,th428,th223,
PD0406-25A000678,th406,th223,
DR0428-25A000006,th428,th223,
DR0428-25A000022,th428,th223,
PD0224-25A003847,th224,th223,
PD0428-25A001376,th428,th223,
DR0224-25A000068,th224,th223,
U0224-25A0000073,th224,th223,
P0434-25A0000010,th434,th409,
U0224-25A0000068,th224,th223,
U0224-25A0000014,th224,th223,
DR0428-25A000050,th428,th223,
U0428-25A0000036,th428,th223,
U0428-25A0000002,th428,th223,
PD0405-25A000337,th405,th223,
DR0406-25A000156,th406,th205,
U0428-25A0000036,th428,th223,
U0428-25A0000012,th428,th223,
U0428-25A0000064,th428,th223,
U0224-25A0000054,th224,th223,
U0301-25A0000005,th301,th214,
U0428-25A0000002,th428,th223,
U0428-25A0000076,th428,th223,
U0428-25A0000069,th428,th223,
DR0224-25A000101,th224,th223,
PD0224-25A003847,th224,th223,
DR0406-25A000020,th406,th214,
DR0428-25A000007,th428,th223,
U0428-25A0000022,th428,th223,
DR0428-25A000039,th428,th223,
PD0406-25A000739,th406,th223,
PD0406-25A000489,th406,th223,
U0428-25A0000025,th428,th223,
U0428-25A0000065,th428,th223,
U0428-25A0000064,th428,th223,
P0213-25A0000009,th213,th429,
PD0405-25A000350,th405,th223,
PD0405-25A000340,th405,th223,
PD0224-25A004381,th224,th223,
P0434-25A0000010,th434,th409,
DR0224-25A000093,th224,th223,
PD0224-25A004006,th224,th223,
U0428-25A0000028,th428,th223,
U0224-25A0000056,th224,th223,
U0428-25A0000002,th428,th223,
PD0405-25A000389,th405,th223,
PD0205-25A003109,th205,th223,
PD0406-25A000649,th406,th223,
PD0406-25A000678,th406,th223,
PD0429-25A000766,th429,th430,
PD0406-25A000525,th406,th401,
U0224-25A0000020,th224,th223,
PD0405-25A000400,th405,th223,
U0428-25A0000002,th428,th223,
U0224-25A0000060,th224,th223,
U0224-25A0000020,th224,th223,
U0224-25A0000027,th224,th223,
DR0425-25A000155,th425,th427,
U0428-25A0000056,th428,th223,
U0428-25A0000025,th428,th223,
U0428-25A0000002,th428,th223,
DR0428-25A000039,th428,th223,
U0224-25A0000073,th224,th223,
DR0428-25A000054,th428,th223,
DR0428-25A000001,th428,th223,
DR0224-25A000056,th224,th223,
U0428-25A0000007,th428,th223,
U0224-25A0000019,th224,th223,
PD0406-25A000539,th406,th205,
DR0428-25A000015,th428,th223,
DR0224-25A000100,th224,th223,
PD0406-25A000741,th406,th223,
DR0224-25A000137,th224,th223,
U0428-25A0000076,th428,th223,
U0224-25A0000073,th224,th223,
PD0406-25A000677,th406,th223,
DR0428-25A000001,th428,th223,
PD0224-25A004232,th224,th223,
PD0205-25A002767,th205,th223,
DR0401-25A000029,th401,th224,
PD0406-25A000800,th406,th205,
U0428-25A0000014,th428,th223,
P0223-25A0000007,th223,th427,
U0428-25A0000028,th428,th223,
PD0224-25A004204,th224,th223,
U0224-25A0000073,th224,th223,
DR0428-25A000048,th428,th223,
PD0224-25A003939,th224,th223,
U0301-25A0000010,th301,th214,
DR0428-25A000015,th428,th223,
DR0224-25A000496,th224,th427,
DR0406-25A000019,th406,th214,
DR0428-25A000020,th428,th223,
PD0407-25A000586,th407,th223,
DR0407-25A000029,th407,th224,
U0428-25A0000020,th428,th223,
U0428-25A0000036,th428,th223,
U0224-25A0000047,th224,th223,
PD0407-25A000585,th407,th223,
DR0428-25A000048,th428,th223,
PD0406-25A000677,th406,th223,
P0428-25A0000545,th428,th224,
U0428-25A0000053,th428,th223,
DR0428-25A000069,th428,th223,
PD0224-25A004795,th224,th223,
PD0425-25A002051,th425,th223,
U0224-25A0000073,th224,th223,
U0428-25A0000020,th428,th223,
PD0429-25A000766,th429,th430,
U0428-25A0000036,th428,th223,
U0224-25A0000013,th224,th223,
U0428-25A0000020,th428,th223,
PD0429-25A000661,th429,th401,
DR0428-25A000058,th428,th223,
PD0224-25A003952,th224,th223,
PD0205-25A002884,th205,th223,
DR0429-25A001154,th429,th435,
DR0301-25A000011,th301,th214,
U0428-25A0000006,th428,th223,
U0428-25A0000025,th428,th223,
U0428-25A0000012,th428,th223,
U0428-25A0000036,th428,th223,
U0224-25A0000036,th224,th223,
U0428-25A0000012,th428,th223,
DR0224-25A000068,th224,th223,
DR0428-25A000020,th428,th223,
P0213-25A0000036,th213,th429,
U0224-25A0000069,th224,th223,
P0434-25A0000008,th434,th409,
U0428-25A0000036,th428,th223,
U0428-25A0000001,th428,th223,
P0223-25A0000002,th223,th427,
P0429-25A0000074,th429,th421,
U0301-25A0000014,th301,th214,
P0213-25A0000009,th213,th429,
U0224-25A0000024,th224,th223,
U0428-25A0000020,th428,th223,
PD0224-25A004232,th224,th223,
U0428-25A0000020,th428,th223,
PD0205-25A002714,th205,th214,
DR0224-25A000114,th224,th223,
DR0224-25A000101,th224,th223,
DR0224-25A000101,th224,th223,
DR0428-25A000015,th428,th223,
DR0428-25A000041,th428,th223,
U0428-25A0000001,th428,th223,
DR0428-25A000007,th428,th223,
DR0428-25A000006,th428,th223,
DR0428-25A000007,th428,th223,
PD0408-25A000828,th408,th223,
U0428-25A0000002,th428,th223,
PD0224-25A003952,th224,th223,
U0428-25A0000031,th428,th223,
U0428-25A0000001,th428,th223,
PD0224-25A004805,th224,th223,
DR0205-25A000006,th205,th223,
DR0428-25A000006,th428,th223,
DR0428-25A000054,th428,th223,
U0224-25A0000072,th224,th223,
PD0224-25A004204,th224,th223,
P0213-25A0000008,th213,th429,
PD0429-25A000661,th429,th401,
U0428-25A0000076,th428,th223,
U0224-25A0000031,th224,th223,
P0224-25A0000096,th224,th223,
U0224-25A0000009,th224,th223,
DR0428-25A000018,th428,th223,
U0224-25A0000060,th224,th223,
DR0428-25A000048,th428,th223,
U0428-25A0000002,th428,th223,
U0224-25A0000036,th224,th223,
DR0224-25A000529,th224,th401,
U0224-25A0000031,th224,th223,
U0224-25A0000014,th224,th223,
DR0214-25A002941,th214,th435,
DR0428-25A000034,th428,th223,
U0301-25A0000006,th301,th214,
DR0224-25A000064,th224,th223,
DR0205-25A000002,th205,th223,
DR0428-25A000058,th428,th223,
P0410-25A0000104,th410,th411,
PD0224-25A003952,th224,th223,
DR0428-25A000066,th428,th223,
U0224-25A0000047,th224,th223,
U0428-25A0000034,th428,th223,
U0428-25A0000001,th428,th223,
U0224-25A0000016,th224,th223,
DR0428-25A000013,th428,th223,
DR0425-25A000036,th425,th223,
U0224-25A0000016,th224,th223,
U0428-25A0000001,th428,th223,
U0224-25A0000020,th224,th223,
U0428-25A0000072,th428,th223,
U0428-25A0000025,th428,th223,
PD0406-25A000676,th406,th223,
U0428-25A0000007,th428,th223,
PD0405-25A000393,th405,th223,
U0428-25A0000025,th428,th223,
P0425-25A0000046,th425,th427,
U0224-25A0000073,th224,th223,
U0224-25A0000020,th224,th223,
U0428-25A0000028,th428,th223,
PD0406-25A000503,th406,th223,
U0428-25A0000001,th428,th223,
DR0205-25A000012,th205,th223,
DR0406-25A000010,th406,th223,
DR0428-25A000046,th428,th223,
PD0425-25A001958,th425,th401,
DR0428-25A000006,th428,th223,
U0224-25A0000079,th224,th223,
PD0406-25A000806,th406,th214,
DR0224-25A000008,th224,th223,
U0224-25A0000023,th224,th223,
DR0428-25A000015,th428,th223,
DR0224-25A000004,th224,th223,
U0301-25A0000025,th301,th214,
PD0429-25A000661,th429,th401,
PD0425-25A001958,th425,th401,
U0428-25A0000065,th428,th223,
DR0428-25A000006,th428,th223,
U0428-25A0000012,th428,th223,
PD0224-25A004165,th224,th223,
U0428-25A0000076,th428,th223,
U0428-25A0000065,th428,th223,
PD0406-25A000598,th406,th223,
DR0224-25A000139,th224,th223,
U0224-25A0000047,th224,th223,
DR0428-25A000039,th428,th223,
DR0428-25A000058,th428,th223,
DR0224-25A000068,th224,th223,
PD0224-25A004006,th224,th223,
U0224-25A0000047,th224,th223,
P0213-25A0000009,th213,th429,
PD0205-25A002505,th205,th401,
PD0406-25A000634,th406,th223,
U0428-25A0000002,th428,th223,
PD0406-25A000651,th406,th223,
DR0413-25A000885,th413,th214,
U0224-25A0000073,th224,th223,
U0428-25A0000076,th428,th223,
PD0406-25A000516,th406,th205,
DR0428-25A000020,th428,th223,
DR0406-25A000020,th406,th214,
PD0406-25A000609,th406,th223,
U0224-25A0000057,th224,th223,
DR0428-25A000015,th428,th223,
DR0224-25A000068,th224,th223,
U0428-25A0000036,th428,th223,
U0428-25A0000025,th428,th223,
U0428-25A0000078,th428,th223,
DR0428-25A000018,th428,th223,
U0428-25A0000064,th428,th223,
PD0406-25A000612,th406,th223,
DR0428-25A000031,th428,th223,
U0428-25A0000014,th428,th223,
PD0429-25A000661,th429,th401,
DR0428-25A000046,th428,th223,
PD0406-25A000817,th406,th223,
U0224-25A0000064,th224,th223,
U0428-25A0000036,th428,th223,
U0224-25A0000036,th224,th223,
U0428-25A0000036,th428,th223,
DR0428-25A000013,th428,th223,
U0428-25A0000053,th428,th223,
PD0406-25A000669,th406,th205,
DR0428-25A000007,th428,th223,
DR0428-25A000081,th428,th223,
PD0406-25A000800,th406,th205,
U0224-25A0000031,th224,th223,
PD0405-25A000339,th405,th223,
PD0405-25A000391,th405,th223,
PD0224-25A003981,th224,th223,
U0224-25A0000070,th224,th223,
U0428-25A0000014,th428,th223,
U0224-25A0000021,th224,th223,
U0428-25A0000001,th428,th223,
PD0224-25A004545,th224,th223,
U0224-25A0000079,th224,th223,
U0224-25A0000024,th224,th223,
PD0406-25A000669,th406,th205,
PD0408-25A000866,th408,th430,
PD0224-25A004147,th224,th223,
PD0224-25A003948,th224,th223,
PD0406-25A000806,th406,th214,
PD0405-25A000400,th405,th223,
PD0406-25A000607,th406,th223,
U0428-25A0000056,th428,th223,
U0224-25A0000035,th224,th223,
DR0428-25A000001,th428,th223,
P0402-25A0000084,th402,th411,
PD0205-25A002475,th205,th223,
DR0428-25A000001,th428,th223,
U0224-25A0000033,th224,th223,
DR0224-25A000155,th224,th223,
U0428-25A0000022,th428,th223,
PD0224-25A004146,th224,th223,
DR0421-25A000007,th421,th435,
U0224-25A0000078,th224,th223,
P0434-25A0000010,th434,th409,
U0428-25A0000064,th428,th223,
DR0428-25A000018,th428,th223,
U0224-25A0000022,th224,th223,
U0428-25A0000002,th428,th223,
DR0429-25A001155,th429,th435,
DR0428-25A000058,th428,th223,
DR0428-25A000031,th428,th223,
U0224-25A0000031,th224,th223,
U0224-25A0000073,th224,th223,
DR0301-25A000006,th301,th214,
U0224-25A0000031,th224,th223,
U0428-25A0000036,th428,th223,
U0224-25A0000058,th224,th223,
DR0428-25A000007,th428,th223,
DR0428-25A000015,th428,th223,
U0224-25A0000078,th224,th223,
U0224-25A0000020,th224,th223,
U0428-25A0000025,th428,th223,
DR0224-25A000101,th224,th223,
