source_tenant,dest_tenant,purchase_issue_id,partner_detail_id,invoice_id,invoice_no,invoice_tenant,tray_id,status,debit_note_number,invoice_sequence_type,pr_type,created_on,updated_on,skull_opcode,invoice_date
th214,th213,768638,186028,,,,TR-119971,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-24 13:53:39,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,768734,186028,,,,TR-66502,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-24 13:54:08,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,768689,186028,,,,TR-95574,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-24 13:53:51,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,768641,186028,,,,TR-119971,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-24 13:53:40,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,768650,186028,,,,TR-84584,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-24 13:53:42,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,768713,186028,,,,TR-130856,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-24 13:54:01,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,768640,186028,,,,TR-115081,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-24 13:53:40,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,768697,186028,,,,TR-6580,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-24 13:53:55,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,768635,186028,,,,TR-119971,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-24 13:53:39,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,768636,186028,,,,TR-84587,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-24 13:53:39,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,768718,186028,,,,TR-130856,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-24 13:54:02,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,768711,186028,,,,TR-2554,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-24 13:54:00,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,768740,186028,,,,TR-69251,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-24 13:54:11,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,768748,186028,,,,TR-32540,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-24 13:54:13,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,768717,186028,,,,TR-130856,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-24 13:54:02,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,768730,186028,,,,TR-118175,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-24 13:54:06,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,768686,186028,,,,TR-115081,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-24 13:53:51,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,768628,186028,,,,TR-118808,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-24 13:53:37,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,768735,186028,,,,TR-66502,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-24 13:54:08,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,768737,186028,,,,TR-66502,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-24 13:54:09,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,768649,186028,,,,TR-84584,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-24 13:53:42,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,768626,186028,,,,TR-37299,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-24 13:53:37,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,682632,186028,,,,TR-95067,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-03 9:26:47,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,700729,186028,,,,TR-33090,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-07 6:39:33,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,700736,186028,,,,TR-33090,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-07 6:39:34,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,726292,186028,,,,TR-70191,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-11 11:20:31,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,803812,186028,,,,TR-70191,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-31 10:01:22,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,803819,186028,,,,TR-120621,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-31 10:01:23,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,803817,186028,,,,TR-120621,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-31 10:01:23,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,803788,186028,,,,TR-120621,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-31 10:01:19,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,803837,186028,,,,TR-32478,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-31 10:01:25,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,803829,186028,,,,TR-118343,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-31 10:01:24,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,772323,186028,,,,TR-120647,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-28 7:03:26,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,772268,186028,,,,TR-95353,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-28 7:03:04,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,772243,186028,,,,TR-94896,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-28 7:02:50,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,772209,186028,,,,TR-118122,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-28 7:02:34,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,772320,186028,,,,TR-92033,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-28 7:03:24,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,772245,186028,,,,TR-94896,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-28 7:02:52,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,772187,186028,,,,TR-115081,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-28 7:02:22,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,772344,186028,,,,TR-95373,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-28 7:03:33,2025-08-13 8:01:59,U,2025-08-13 8:01:53
th214,th213,772186,186028,,,,TR-32477,READY_FOR_DELIVERY,DR0214-25A003238,DELIVERY_CHALLAN,REGULAR,2025-07-28 7:02:20,2025-08-13 8:01:59,U,2025-08-13 8:01:53
