tenant,purchaseIssueId
th224,796670
th224,796671
th224,796672
th224,796673
th224,796674
th224,796675
th224,796676
th224,796677
th224,796678
th224,796679
th224,796680
th224,796681
th224,796682
th224,796683
th224,796684
th224,796685
th224,796686
th224,796687
th224,796688
th224,796689
th224,796690
th224,796691
th224,796692
th224,796693
th224,796694
th224,796695
th224,796696
th224,796697
th224,796698
th224,796699
th224,796700
th224,796701
th224,796702
th224,796703
th224,796704
th224,796705
th224,796706
th224,796707
th224,796708
th224,796709
th224,796710
th224,796711
th224,796712
th224,796713
th224,796723
th224,796724
th224,796731
th224,796732
th224,796859
th224,796861
th224,796887
th224,796903
th224,796966
th224,796968
th224,797018
th224,797022
th224,797024
th224,797026
th224,797027
th224,797028
th224,797029
th224,797030
th224,797031
th224,797032
th224,797033
th224,797034
th224,797035
th224,797036
th224,797037
th224,797038
th224,797039
th224,797040
th224,797041
th224,797042
th224,797043
th224,797044
th224,797045
th224,797046
th224,797047
th224,797048
th224,797049
th224,797050
th224,797051
th224,797052
th224,797053
th224,797054
th224,797055
th224,797056
th224,797057
th224,797058
th224,797059
th224,797060
th224,797061
th224,797062
th224,797063
th224,797064
th224,797065
th224,797066
th224,797067
th224,797068
th224,797069
th224,797070
th224,797071
th224,797072
th224,797073
th224,797075
th224,797076
th224,797077
th224,797078
th224,797079
th224,797080
th224,797081
th224,797082
th224,797083
th224,797084
th224,797085
th224,797086
th224,797087
th224,797088
th224,797089
th224,797090
th224,797091
th224,797092
th224,797093
th224,797094
th224,797095
th224,797096
th224,797097
th224,797098
th224,797099
th224,797100
th224,797101
th224,797102
th224,797103
th224,797104
th224,797105
th224,797106
th224,797107
th224,797108
th224,797124
th224,797360
th224,797365
th224,797466
th224,797690
th224,797691
th224,797692
th224,797693
th224,797695
th224,797696
th224,797698
th224,797699
th224,797700
th224,797701
th224,797702
th224,797703
th224,797705
th224,797706
th224,797708
th224,797709
th224,797710
th224,797712
th224,797713
th224,797714
th224,797715
th224,797716
th224,797717
th224,797718
th224,797719
th224,797720
th224,797721
th224,797722
th224,797723
th224,797725
th224,797728
