tenant,id,status,invoice_id,invoice_no,partner_detail_id,child_tenant_partner_detail_id,tenantCode,invoice_sequence_type,error_reason
th401,97836,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97837,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97839,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97841,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97844,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97846,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97849,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97852,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97859,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97867,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97870,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97873,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97875,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97876,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97887,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97892,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97895,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97899,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97901,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97903,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97908,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97910,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97914,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97917,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97920,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97924,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97926,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97929,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97932,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97934,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97936,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97940,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97945,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97948,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97951,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97953,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97955,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97956,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97957,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97958,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97960,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97961,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97962,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97964,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97966,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97968,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97970,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97971,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97972,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97973,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97974,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97976,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97977,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97978,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97980,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97981,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97982,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97990,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97991,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97992,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97993,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97995,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97997,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97998,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97999,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,98000,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
