tenant,id,status,invoice_id,invoice_no,partner_detail_id,child_tenant_partner_detail_id,tenantCode,invoice_sequence_type
th214,652323,READY_FOR_RACKING,788435,EA-24-928780,61,,,DELIVERY_CHALLAN_NORMAL
th214,652324,READY_FOR_RACKING,1006935,DP-25-33329,32262,,,DELIVERY_CHALLAN_NORMAL
th214,652325,READY_FOR_RACKING,644947,EA-23-1155512,61,,,DELIVERY_CHALLAN_NORMAL
th214,652327,READY_FOR_RACKING,601478,EA-23-471036,61,,,DELIVERY_CHALLAN_NORMAL
th214,652330,READY_FOR_RACKING,588389,EA-23-264711,61,,,DELIVERY_CHALLAN_NORMAL
th214,652332,READY_FOR_RACKING,601378,EA-23-471055,61,,,DELIVERY_CHALLAN_NORMAL
th214,652336,READY_FOR_RACKING,635718,EA-23-1030334,61,,,DELIVERY_CHALLAN_NORMAL
th214,652338,READY_FOR_RACKING,417631,EA-22-130236,61,,,DELIVERY_CHALLAN_NORMAL
th214,652342,READY_FOR_RACKING,591988,EA-23-337083,61,,,DELIVERY_CHALLAN_NORMAL
th214,652343,READY_FOR_RACKING,1006925,DP-25-33019,32262,,,DELIVERY_CHALLAN_NORMAL
th214,652346,READY_FOR_RACKING,478080,EA-22-723033,61,,,DELIVERY_CHALLAN_NORMAL
th214,652347,READY_FOR_RACKING,644947,EA-23-1155512,61,,,DELIVERY_CHALLAN_NORMAL
th214,652348,READY_FOR_RACKING,829758,EA-24-1187101,61,,,DELIVERY_CHALLAN_NORMAL
th214,652352,READY_FOR_RACKING,588375,EA-23-264901,61,,,DELIVERY_CHALLAN_NORMAL
th214,652354,READY_FOR_RACKING,601478,EA-23-471036,61,,,DELIVERY_CHALLAN_NORMAL
th214,652358,READY_FOR_RACKING,800095,EA-24-972935,61,,,DELIVERY_CHALLAN_NORMAL
th214,652374,READY_FOR_RACKING,985625,EA-24-1486281,61,,,DELIVERY_CHALLAN_NORMAL
th214,652377,READY_FOR_RACKING,601478,EA-23-471036,61,,,DELIVERY_CHALLAN_NORMAL
th214,652395,READY_FOR_RACKING,820166,DP-24-353925,32262,,,DELIVERY_CHALLAN_NORMAL
th214,652418,READY_FOR_RACKING,1001565,DP-25-6117,32262,,,DELIVERY_CHALLAN_NORMAL
th214,652428,READY_FOR_RACKING,729884,EA-24-501671,61,,,DELIVERY_CHALLAN_NORMAL
th214,652442,READY_FOR_RACKING,,,32262,,,DELIVERY_CHALLAN_NORMAL
th214,652451,READY_FOR_RACKING,975876,EA-24-1407295,61,,,DELIVERY_CHALLAN_NORMAL
th214,652454,DISPATCH_READY,669534,MUM24I4748,13764,,,DELIVERY_CHALLAN_NORMAL
th214,652458,READY_FOR_RACKING,1006502,DP-25-30539,32262,,,DELIVERY_CHALLAN_NORMAL
th214,652464,READY_FOR_RACKING,677407,272301013889,1125,,,DELIVERY_CHALLAN_NORMAL
th214,652472,READY_FOR_RACKING,659430,3168459391,2049,,,DELIVERY_CHALLAN_NORMAL
th214,652474,READY_FOR_RACKING,600348,3168438796,2049,,,DELIVERY_CHALLAN_NORMAL
th214,652476,READY_FOR_RACKING,644402,3168453709,2049,,,DELIVERY_CHALLAN_NORMAL
th214,652482,READY_FOR_RACKING,681786,OS2712483363,2646,,,DELIVERY_CHALLAN_NORMAL
th214,652483,READY_FOR_RACKING,962432,3168508437,2049,,,DELIVERY_CHALLAN_NORMAL
th214,652494,READY_FOR_RACKING,631987,3168449738,2049,,,DELIVERY_CHALLAN_NORMAL
th214,652499,READY_FOR_RACKING,445927,3168402544,2049,,,DELIVERY_CHALLAN_NORMAL
th214,652502,READY_FOR_RACKING,672456,3168465028,2049,,,DELIVERY_CHALLAN_NORMAL
th214,652503,READY_FOR_RACKING,653512,OS2712458938,2646,,,DELIVERY_CHALLAN_NORMAL
th214,652505,READY_FOR_RACKING,597670,3168438132,2049,,,DELIVERY_CHALLAN_NORMAL
th214,652507,READY_FOR_RACKING,631987,3168449738,2049,,,DELIVERY_CHALLAN_NORMAL
th214,652508,READY_FOR_RACKING,456444,OS2712321144,2646,,,DELIVERY_CHALLAN_NORMAL
th214,652510,READY_FOR_RACKING,600931,OS2712421680,2646,,,DELIVERY_CHALLAN_NORMAL
th214,652514,READY_FOR_RACKING,705115,OS2712514135,2646,,,DELIVERY_CHALLAN_NORMAL
th214,652516,READY_FOR_RACKING,705115,OS2712514135,2646,,,DELIVERY_CHALLAN_NORMAL
th214,652519,READY_FOR_RACKING,705115,OS2712514135,2646,,,DELIVERY_CHALLAN_NORMAL
th214,652521,READY_FOR_RACKING,489093,OS2712336917,2646,,,DELIVERY_CHALLAN_NORMAL
th214,652523,READY_FOR_RACKING,705115,OS2712514135,2646,,,DELIVERY_CHALLAN_NORMAL
th214,652527,READY_FOR_RACKING,958259,3392447914,2053,,,DELIVERY_CHALLAN_NORMAL
th214,652530,READY_FOR_RACKING,962376,3168508421,2049,,,DELIVERY_CHALLAN_NORMAL
th214,652569,READY_FOR_RACKING,602837,MH2321002953,2591,,,DELIVERY_CHALLAN_NORMAL
th214,652571,DISPATCH_READY,778061,134LS4004172,32490,,,DELIVERY_CHALLAN_NORMAL
th214,652574,READY_FOR_RACKING,993588,134LS4007426,32490,,,DELIVERY_CHALLAN_NORMAL
th214,652597,READY_FOR_RACKING,628918,BH12324/GIS01926,2855,,,DELIVERY_CHALLAN_NORMAL
th214,652598,READY_FOR_RACKING,706264,BH12425/GIS00720,2855,,,DELIVERY_CHALLAN_NORMAL
th214,652601,READY_FOR_RACKING,,,2855,,,DELIVERY_CHALLAN_NORMAL
th214,652602,READY_FOR_RACKING,670708,BH12324/GIS03947,2855,,,DELIVERY_CHALLAN_NORMAL
th214,652621,READY_FOR_RACKING,602146,9110153145,29788,,,DELIVERY_CHALLAN_NORMAL
th214,652622,READY_FOR_RACKING,761823,2075010421,29788,,,DELIVERY_CHALLAN_NORMAL
th214,652632,READY_FOR_RACKING,651051,4407309360,29788,,,DELIVERY_CHALLAN_NORMAL
th214,652651,READY_FOR_RACKING,655722,00561167,36,,,DELIVERY_CHALLAN_NORMAL
th214,652659,READY_FOR_RACKING,662533,00576002,36,,,DELIVERY_CHALLAN_NORMAL
th214,652668,DISPATCH_READY,1021333,00928655,36,,,DELIVERY_CHALLAN_NORMAL
th214,652683,READY_FOR_RACKING,769779,F/44930,7,,,DELIVERY_CHALLAN_NORMAL
th214,652684,READY_FOR_RACKING,780364,F/47786,7,,,DELIVERY_CHALLAN_NORMAL
th214,652685,READY_FOR_RACKING,780364,F/47786,7,,,DELIVERY_CHALLAN_NORMAL
th214,652686,READY_FOR_RACKING,780364,F/47786,7,,,DELIVERY_CHALLAN_NORMAL
th214,652689,DISPATCH_READY,769122,F/44913,7,,,DELIVERY_CHALLAN_NORMAL
th214,652692,READY_FOR_RACKING,662563,F/61667,7,,,DELIVERY_CHALLAN_NORMAL
th214,652694,READY_FOR_RACKING,966154,F/69324,7,,,DELIVERY_CHALLAN_NORMAL
th214,652698,READY_FOR_RACKING,1000336,F/2793,7,,,DELIVERY_CHALLAN_NORMAL
th214,652704,READY_FOR_RACKING,,,7,,,DELIVERY_CHALLAN_NORMAL
th214,652705,READY_FOR_RACKING,654016,F/56072,7,,,DELIVERY_CHALLAN_NORMAL
th214,652709,READY_FOR_RACKING,651933,F/56017,7,,,DELIVERY_CHALLAN_NORMAL
th214,652715,READY_FOR_RACKING,951931,F/64079,7,,,DELIVERY_CHALLAN_NORMAL
th214,652716,READY_FOR_RACKING,821874,F/58921,7,,,DELIVERY_CHALLAN_NORMAL
th214,652717,READY_FOR_RACKING,662718,F/61603,7,,,DELIVERY_CHALLAN_NORMAL
th214,652737,READY_FOR_RACKING,704816,I179,32748,,,DELIVERY_CHALLAN_NORMAL
th214,652738,DISPATCH_READY,994657,I1089,32748,,,DELIVERY_CHALLAN_NORMAL
th214,652740,DISPATCH_READY,994657,I1089,32748,,,DELIVERY_CHALLAN_NORMAL
th214,652753,READY_FOR_RACKING,965666,CGBHA-24-I112601,31669,,,DELIVERY_CHALLAN_NORMAL
th214,652755,READY_FOR_RACKING,720529,CUR/000109,69,,,DELIVERY_CHALLAN_NORMAL
th214,652757,READY_FOR_RACKING,676619,CUR/000453,69,,,DELIVERY_CHALLAN_NORMAL
th214,652767,DISPATCH_READY,806883,00308719,100,,,DELIVERY_CHALLAN_NORMAL
th214,652769,READY_FOR_RACKING,995953,00338203,100,,,DELIVERY_CHALLAN_NORMAL
th214,652771,READY_FOR_RACKING,675887,00234899,100,,,DELIVERY_CHALLAN_NORMAL
th214,652780,READY_FOR_RACKING,626343,00193678,100,,,DELIVERY_CHALLAN_NORMAL
th214,652781,READY_FOR_RACKING,642106,00205373,100,,,DELIVERY_CHALLAN_NORMAL
th214,652782,READY_FOR_RACKING,737197,00279536,100,,,DELIVERY_CHALLAN_NORMAL
th214,652784,READY_FOR_RACKING,677939,00236118,100,,,DELIVERY_CHALLAN_NORMAL
th214,652787,READY_FOR_RACKING,699450,00252729,100,,,DELIVERY_CHALLAN_NORMAL
th214,652788,READY_FOR_RACKING,640895,00204408,100,,,DELIVERY_CHALLAN_NORMAL
th214,652818,DISPATCH_READY,1006051,251402101996,2630,,,DELIVERY_CHALLAN_NORMAL
th214,652823,READY_FOR_RACKING,622740,U0023730692,31911,,,DELIVERY_CHALLAN_NORMAL
th214,652824,READY_FOR_RACKING,618654,U0023654605,31911,,,DELIVERY_CHALLAN_NORMAL
th214,652825,READY_FOR_RACKING,,,31911,,,DELIVERY_CHALLAN_NORMAL
th214,652826,READY_FOR_RACKING,587592,U0023200489,31911,,,DELIVERY_CHALLAN_NORMAL
th214,652827,READY_FOR_RACKING,616141,U0023592622,31911,,,DELIVERY_CHALLAN_NORMAL
th214,652829,READY_FOR_RACKING,642561,U00231035470,31911,,,DELIVERY_CHALLAN_NORMAL
th214,652830,READY_FOR_RACKING,646212,U00231098093,31911,,,DELIVERY_CHALLAN_NORMAL
th214,652831,READY_FOR_RACKING,694625,U0024133090,31911,,,DELIVERY_CHALLAN_NORMAL
th214,652832,READY_FOR_RACKING,690620,U002460027,31911,,,DELIVERY_CHALLAN_NORMAL
th214,652833,READY_FOR_RACKING,673296,U00231602279,31911,,,DELIVERY_CHALLAN_NORMAL
th214,652834,READY_FOR_RACKING,699991,U0024244021,31911,,,DELIVERY_CHALLAN_NORMAL
th214,652835,READY_FOR_RACKING,673296,U00231602279,31911,,,DELIVERY_CHALLAN_NORMAL
