dest_tenant,source_tenant,purchase_issue_id,invoice_id,invoice_no,pr_type,invoice_tenant,is_invoice_tenant_same,purchase_issue_status
th429,th417,27889,26739,T0429-25A0002981,PURCHASE_RETURN,th418,False,DISPATCH_READY
th429,th417,27973,54957,T0429-25A0000208,PURCHASE_RETURN,th435,False,DISPATCH_READY
th429,th417,28033,41502,T0429-25A0001942,PURCHASE_RETURN,th413,False,DISPATCH_READY
th429,th417,28080,26391,T0429-25A0002273,PURCHASE_RETURN,th418,False,DISPATCH_READY
th429,th417,27981,25960,T0429-25A0001687,PURCHASE_RETURN,th418,False,DISPATCH_READY
th429,th417,28074,55546,T0429-25A0000422,PURCHASE_RETURN,th435,False,DISPATCH_READY
th214,th418,16846,23727,EA-25-102391,PURCHASE_RETURN,th418,True,READY_FOR_RACKING
th429,th418,16965,40764,T0429-25A0001113,PURCHASE_RETURN,th413,False,DISPATCH_READY
th429,th418,16995,35906,T0429-25A0000181,PURCHASE_RETURN,th417,False,READY_FOR_RACKING
th429,th418,16778,24776,EA-25-106854,PURCHASE_RETURN,th418,True,READY_FOR_RACKING
th429,th418,17091,35906,T0429-25A0000181,PURCHASE_RETURN,th417,False,READY_FOR_RACKING
th429,th418,17470,37164,T0429-25A0001719,PURCHASE_RETURN,th417,False,DISPATCH_READY
th214,th418,17531,6129,MU214/23/A000284,PURCHASE_RETURN,th418,True,DISPATCH_READY
th214,th418,17533,6129,MU214/23/A000284,PURCHASE_RETURN,th418,True,DISPATCH_READY
th214,th418,17549,6084,MU214/23/A000088,PURCHASE_RETURN,th418,True,DISPATCH_READY
th214,th418,17562,34451,T0214-25A0004660,PURCHASE_RETURN,th417,False,READY_FOR_RACKING
th214,th418,17578,6143,MU214/23/A000339,PURCHASE_RETURN,th418,True,DISPATCH_READY
th214,th418,17582,6140,MU214/23/A000327,PURCHASE_RETURN,th418,True,DISPATCH_READY
th214,th418,17583,6120,MU214/23/A000225,PURCHASE_RETURN,th418,True,DISPATCH_READY
th214,th418,17640,6099,MU214/23/A000146,PURCHASE_RETURN,th418,True,DISPATCH_READY
th214,th418,17652,37071,T0214-25A0008902,PURCHASE_RETURN,th417,False,READY_FOR_RACKING
th214,th418,17644,6084,MU214/23/A000088,PURCHASE_RETURN,th418,True,DISPATCH_READY
th214,th418,17651,39063,T0214-25A0005877,PURCHASE_RETURN,th413,False,READY_FOR_RACKING
th214,th418,17676,9057,A0214-24A0000169,PURCHASE_RETURN,th418,True,DISPATCH_READY
th214,th418,17677,34899,T0214-25A0005698,PURCHASE_RETURN,th417,False,READY_FOR_RACKING
th214,th418,17672,6126,MU214/23/A000269,PURCHASE_RETURN,th418,True,DISPATCH_READY
th435,th418,17749,40912,D0435-25A0000333,PURCHASE_RETURN,th413,False,READY_FOR_RACKING
th435,th418,17804,40405,D0435-25A0000236,PURCHASE_RETURN,th413,False,READY_FOR_RACKING
th435,th418,17808,36150,D0435-25A0000142,PURCHASE_RETURN,th417,False,DISPATCH_READY
th435,th418,17811,39812,D0435-25A0000005,PURCHASE_RETURN,th413,False,DISPATCH_READY
th435,th418,17809,42082,D0435-25A0000771,PURCHASE_RETURN,th413,False,DISPATCH_READY
th435,th418,17821,43062,D0435-25A0001030,PURCHASE_RETURN,th413,False,READY_FOR_RACKING
th435,th418,17820,37844,D0435-25A0000737,PURCHASE_RETURN,th417,False,READY_FOR_RACKING
th435,th418,17822,37382,D0435-25A0000494,PURCHASE_RETURN,th417,False,READY_FOR_RACKING
th435,th418,17824,37362,D0435-25A0000486,PURCHASE_RETURN,th417,False,READY_FOR_RACKING
th429,th418,17952,36769,T0429-25A0001266,PURCHASE_RETURN,th417,False,DISPATCH_READY
th429,th418,17965,42658,T0429-25A0003735,PURCHASE_RETURN,th413,False,READY_FOR_RACKING
th429,th418,18008,40599,T0429-25A0000841,PURCHASE_RETURN,th413,False,DISPATCH_READY
th429,th418,18024,36558,T0429-25A0000917,PURCHASE_RETURN,th417,False,READY_FOR_RACKING
th429,th418,18026,40331,T0429-25A0000321,PURCHASE_RETURN,th413,False,READY_FOR_RACKING
th429,th418,18032,36221,T0429-25A0000382,PURCHASE_RETURN,th417,False,READY_FOR_RACKING
th429,th418,18043,42380,T0429-25A0003396,PURCHASE_RETURN,th413,False,READY_FOR_RACKING
th429,th418,18037,37974,T0429-25A0002938,PURCHASE_RETURN,th417,False,READY_FOR_RACKING
th429,th418,18045,40562,T0429-25A0000700,PURCHASE_RETURN,th413,False,READY_FOR_RACKING
th429,th418,18046,40562,T0429-25A0000700,PURCHASE_RETURN,th413,False,READY_FOR_RACKING
th429,th418,18090,41088,T0429-25A0001403,PURCHASE_RETURN,th413,False,READY_FOR_RACKING
th429,th418,18122,40538,T0429-25A0000646,PURCHASE_RETURN,th413,False,READY_FOR_RACKING
th429,th418,18126,41189,T0429-25A0001600,PURCHASE_RETURN,th413,False,READY_FOR_RACKING
th429,th418,18137,36483,T0429-25A0000799,PURCHASE_RETURN,th417,False,DISPATCH_READY
th214,th418,18328,34519,T0214-25A0004904,PURCHASE_RETURN,th417,False,READY_FOR_RACKING
th429,th418,18223,39687,T0429-25A0000018,PURCHASE_RETURN,th413,False,READY_FOR_RACKING
th214,th418,18333,41720,T0214-25A0009669,PURCHASE_RETURN,th413,False,READY_FOR_RACKING
th214,th418,18337,43138,T0214-25A0012513,PURCHASE_RETURN,th413,False,READY_FOR_RACKING
th214,th418,18369,38941,T0214-25A0005601,PURCHASE_RETURN,th413,False,DISPATCH_READY
th429,th418,18208,41105,T0429-25A0001528,PURCHASE_RETURN,th413,False,READY_FOR_RACKING
th214,th418,18382,9182,MU214/23/A000382,PURCHASE_RETURN,th418,True,DISPATCH_READY
th214,th418,18390,5123,AR22-23-477,PURCHASE_RETURN,th413,False,DISPATCH_READY
th214,th418,18397,9182,MU214/23/A000382,PURCHASE_RETURN,th418,True,DISPATCH_READY
th214,th418,18420,3787,AR22-22-5273,PURCHASE_RETURN,th417,False,DISPATCH_READY
th214,th418,18413,34890,T0214-25A0005656,PURCHASE_RETURN,th417,False,READY_FOR_RACKING
th214,th418,18425,34361,T0214-25A0004349,PURCHASE_RETURN,th417,False,DISPATCH_READY
th214,th418,18428,38273,T0214-25A0003940,PURCHASE_RETURN,th413,False,READY_FOR_RACKING
th429,th418,18297,41847,T0429-25A0002482,PURCHASE_RETURN,th413,False,READY_FOR_RACKING
th214,th418,18432,34358,T0214-25A0004340,PURCHASE_RETURN,th417,False,READY_FOR_RACKING
th214,th418,18435,34358,T0214-25A0004340,PURCHASE_RETURN,th417,False,READY_FOR_RACKING
th214,th418,18457,38667,T0214-25A0004974,PURCHASE_RETURN,th413,False,DISPATCH_READY
th214,th418,18450,38636,T0214-25A0004894,PURCHASE_RETURN,th413,False,READY_FOR_RACKING
th214,th418,18467,6368,MU214/23/A000349,PURCHASE_RETURN,th414,False,DISPATCH_READY
